"","ppt_id","bet_no","bet_time","old_bonus","total_amt_bet","win","new_bonus","average_odds","total_numbers_bet","no_tokens"
"6503","P0742",6,"14:53:54",6,-1,2,7,1.03,18,1
"6504","P0742",7,"14:54:10",7,-1,0,6,1.03,18,1
"6505","P0742",8,"14:54:25",6,-1,2,7,1.03,18,1
"6506","P0742",9,"14:54:40",7,-1,0,6,1.03,18,1
"6507","P0742",10,"14:55:02",6,-1,2,7,1.03,18,1
"6508","P0742",11,"14:55:20",7,-1,2,8,1.03,18,1
"6509","P0742",12,"14:55:34",8,-1,2,9,1.03,18,1
"6510","P0742",13,"14:55:48",9,-1,0,8,1.03,18,1
"6511","P0742",14,"14:56:01",8,-1,2,9,1.03,18,1
"6512","P0742",15,"14:56:15",9,-1,2,10,1.03,18,1
"6513","P0742",16,"14:56:37",10,-1,0,9,1.03,18,1
"6514","P0742",17,"14:56:51",9,-1,2,10,1.03,18,1
"6515","P0742",18,"14:57:06",10,-1,0,9,1.03,18,1
"6516","P0742",19,"14:57:19",9,-1,0,8,1.03,18,1
"6517","P0742",20,"14:57:33",8,-1,2,9,1.03,18,1
"6518","P0742",21,"14:57:46",9,-1,0,8,1.03,18,1
"6519","P1621",1,"15:08:05",3,-0.5,1,3.5,1.03,18,1
"6520","P0729",1,"15:08:37",3,-1,0,2,1.03,18,1
"6521","P1621",2,"15:08:44",3.5,-0.1,0,3.4,1.03,18,1
"6522","P1621",3,"15:09:10",3.4,-0.1,0.2,3.5,1.03,18,1
"6523","P0729",2,"15:09:16",2,-1,0,1,1.03,18,1
"6524","P0729",3,"15:09:28",1,-1,2,2,1.03,18,1
"6525","P1621",4,"15:09:35",3.5,-0.1,0.2,3.6,1.03,18,1
"6526","P0729",4,"15:09:50",2,-0.2,0,1.8,35.03,1,1
"6527","P1621",5,"15:10:00",3.6,-0.1,0.2,3.7,1.03,18,1
"6528","P1621",6,"15:10:20",3.7,-0.1,0.2,3.8,1.03,18,1
"6529","P0729",5,"15:10:27",1.8,-0.1,0.2,1.9,1.03,18,1
"6530","P1621",7,"15:10:41",3.8,-0.1,0,3.7,1.03,18,1
"6531","P0729",6,"15:10:39",1.9,-0.2,0,1.7,1.03,18,1
"6532","P1621",8,"15:10:58",3.7,-0.1,0,3.6,1.03,18,1
"6533","P0729",7,"15:11:02",1.7,-0.2,0,1.5,1.03,18,1
"6534","P1621",9,"15:11:21",3.6,-0.2,0,3.4,0.58,26,2
"6535","P1621",10,"15:11:46",3.4,-0.1,0.2,3.5,1.03,18,1
"6536","P1316",1,"15:13:26",3,-0.9,0.8,2.9,0.48,28,3
"6537","P1316",2,"15:13:53",2.9,-0.8,1.2,3.3,0.45,36,3
"6538","P1316",3,"15:14:34",3.3,-0.7,1,3.6,0.62,27,3
"6539","P1316",4,"15:15:10",3.6,-1,1,3.6,0.47,28,2
"6540","P1316",5,"15:15:41",3.6,-1,0,2.6,0.78,24,2
"6541","P1316",6,"15:16:14",2.6,-0.4,0,2.2,0.58,26,2
"6542","P1316",7,"15:16:44",2.2,-0.4,0.8,2.6,0.47,28,2
"6543","P1316",8,"15:17:04",2.6,-0.1,0,2.5,35.03,1,1
"6544","P1235",1,"15:17:14",3,-1,0,2,3.35,9,10
"6545","P1316",9,"15:17:21",2.5,-0.1,0,2.4,35.03,1,1
"6546","P1316",10,"15:17:34",2.4,-0.4,0.4,2.4,0.47,28,2
"6547","P1235",2,"15:17:47",2,-1,0,1,3.35,9,10
"6548","P1685",1,"15:18:06",3,-0.1,0,2.9,1.03,18,1
"6549","P1316",11,"15:18:10",2.4,-0.1,0,2.3,1.03,18,1
"6550","P1235",3,"15:18:17",1,-1,7.2,7.2,3.35,9,10
"6551","P1316",12,"15:18:22",2.3,-0.4,0,1.9,0.58,26,2
"6552","P1685",2,"15:18:24",2.9,-1,2,3.9,1.03,18,10
"6553","P1316",13,"15:18:38",1.9,-0.1,0,1.8,35.03,1,1
"6554","P1685",3,"15:18:39",3.9,-1,0,2.9,1.03,18,10
"6555","P1685",4,"15:18:52",2.9,-1,2,3.9,1.03,18,10
"6556","P1316",14,"15:19:01",1.8,-0.4,0.4,1.8,0.47,28,2
"6557","P1685",5,"15:19:04",3.9,-0.5,1,4.4,1.03,18,5
"6558","P1685",6,"15:19:15",4.4,-0.5,1,4.9,1.03,18,5
"6559","P1316",15,"15:19:18",1.8,-0.4,0,1.4,0.58,26,2
"6560","P1685",7,"15:19:29",4.9,-1,0,3.9,2.03,12,10
"6561","P1316",16,"15:19:40",1.4,-0.2,0.3,1.5,0.78,24,2
"6562","P1685",8,"15:19:40",3.9,-0.5,0,3.4,2.03,12,5
"6563","P1021",1,"15:19:45",3,-0.4,0.6,3.2,0.53,24,2
"6564","P1316",17,"15:19:53",1.5,-0.2,0.2,1.5,0.78,24,2
"6565","P1685",9,"15:19:58",3.4,-0.5,1,3.9,1.03,18,5
"6566","P1021",2,"15:20:10",3.2,-0.6,0,2.6,1.03,24,3
"6567","P1685",10,"15:20:15",3.9,-0.5,1,4.4,1.03,18,5
"6568","P1316",18,"15:20:21",1.5,-1,0,0.5,0.78,24,2
"6569","P1021",3,"15:20:36",2.6,-0.4,0.6,2.8,0.78,24,2
"6570","P1685",11,"15:20:38",4.4,-0.4,0.8,4.8,1.03,18,4
"6571","P1316",19,"15:20:46",0.5,-0.1,0.2,0.6,1.03,18,1
"6572","P1685",12,"15:20:50",4.8,-0.8,0,4,1.03,18,8
"6573","P1021",4,"15:20:53",2.8,-0.4,0.6,3,0.53,24,2
"6574","P1316",20,"15:20:59",0.6,-0.2,0,0.4,1.03,18,1
"6575","P1316",21,"15:21:12",0.4,-0.1,0.2,0.5,1.03,18,1
"6576","P1021",5,"15:21:11",3,-0.2,0,2.8,1.03,18,1
"6577","P1685",13,"15:21:17",4,-1,2,5,1.03,18,10
"6578","P1021",6,"15:21:29",2.8,-0.2,0.4,3,1.03,18,1
"6579","P1685",14,"15:21:30",5,-0.3,0,4.7,2.03,12,3
"6580","P1316",22,"15:21:32",0.5,-0.1,0,0.4,1.03,18,1
"6581","P1316",23,"15:21:46",0.4,-0.1,0.2,0.5,1.03,18,1
"6582","P1021",7,"15:22:03",3,-0.4,1,3.6,0.78,24,2
"6583","P1316",24,"15:22:11",0.5,-0.1,0,0.4,1.03,18,1
"6584","P1316",25,"15:22:21",0.4,-0.1,0.2,0.5,1.03,18,1
"6585","P1316",26,"15:22:33",0.5,-0.1,0,0.4,1.03,18,1
"6586","P0893",1,"15:22:45",3,-1,0,2,0.84,24,4
"6587","P1316",27,"15:22:49",0.4,-0.1,0.2,0.5,1.03,18,1
"6588","P1316",28,"15:23:14",0.5,-0.1,0.3,0.7,2.03,12,1
"6589","P0026",1,"15:23:10",3,-1,0,2,7.67,5,5
"6590","P0893",2,"15:23:22",2,-1,0,1,1.03,18,1
"6591","P1316",29,"15:23:26",0.7,-0.1,0.2,0.8,1.03,18,1
"6592","P0026",2,"15:23:30",2,-0.5,0,1.5,11.99,3,3
"6593","P1316",30,"15:23:41",0.8,-0.2,0.4,1,1.03,18,1
"6594","P0893",3,"15:23:47",1,-1,0.2,0.2,0.6,31,4
"6595","P0340",1,"15:23:50",3,-1,2,4,1.03,18,1
"6596","P1316",31,"15:24:01",1,-0.3,0.4,1.1,0.58,27,2
"6597","P0340",2,"15:24:09",4,-1,0,3,1.03,18,1
"6598","P0893",4,"15:24:08",0.2,-0.2,0,0,2.03,12,1
"6599","P1021",8,"15:24:12",3.6,-0.4,0.6,3.8,0.53,24,2
"6600","P1316",32,"15:24:18",1.1,-0.1,0.2,1.2,1.03,18,1
"6601","P1316",33,"15:24:38",1.2,-0.2,0,1,1.03,18,1
"6602","P1316",34,"15:24:51",1,-0.1,0.2,1.1,1.03,18,1
"6603","P1021",9,"15:24:59",3.8,-0.4,0,3.4,0.53,27,2
"6604","P1316",35,"15:25:06",1.1,-0.2,0.2,1.1,0.47,28,2
"6605","P0016",1,"15:25:14",3,-1,0,2,1.03,18,1
"6606","P1021",10,"15:25:20",3.4,-0.4,0.4,3.4,0.53,27,2
"6607","P1316",36,"15:25:23",1.1,-0.1,0.2,1.2,1.03,18,1
"6608","P0016",2,"15:25:31",2,-1,0,1,1.03,18,1
"6609","P1316",37,"15:25:41",1.2,-0.2,0,1,1.03,18,1
"6610","P1021",11,"15:25:40",3.4,-0.4,0.4,3.4,0.78,24,2
"6611","P0016",3,"15:25:42",1,-1,2,2,1.03,18,1
"6612","P1316",38,"15:25:55",1,-0.2,0.2,1,0.78,24,2
"6613","P1021",12,"15:26:02",3.4,-0.4,0.6,3.6,0.78,24,2
"6614","P1316",39,"15:26:10",1,-0.1,0.2,1.1,1.03,18,1
"6615","P0016",4,"15:26:15",2,-1,2,3,1.03,18,1
"6616","P1316",40,"15:26:22",1.1,-0.2,0,0.9,1.03,18,1
"6617","P1316",41,"15:26:44",0.9,-0.1,0,0.8,1.03,26,1
"6618","P1021",13,"15:27:09",3.6,-0.4,0.8,4,0.53,27,2
"6619","P1021",14,"15:27:23",4,-0.4,1.2,4.8,2.03,12,2
"6620","P1316",42,"15:27:52",0.8,-0.1,0.2,0.9,1.03,18,1
"6621","P1021",15,"15:27:59",4.8,-0.4,0.4,4.8,0.53,27,2
"6622","P1316",43,"15:28:01",0.9,-0.1,0,0.8,1.03,18,1
"6623","P1316",44,"15:28:11",0.8,-0.1,0.2,0.9,1.03,18,1
