"pptid","Condition","Match","Bet.Category","Subcategory","Bet.Description","Stake","Potential.Payout"
"F.1071","Treatment","","","Endowment","Unspent",2.5,2.5
"F.1274","Control","","","Endowment","Unspent",0,0
"F.0535","Control","","","Endowment","Unspent",1,1
"F.0397","Treatment","","","Endowment","Unspent",2,2
"F.0991","Control","","","Endowment","Unspent",0,0
"F.0188","Control","","","Endowment","Unspent",0,0
"F.1102","Treatment","","","Endowment","Unspent",0,0
"F.1230","Treatment","","","Endowment","Unspent",0,0
"F.1100","Control","","","Endowment","Unspent",2,2
"F.1103","Control","","","Endowment","Unspent",0,0
"F.0914","Treatment","","","Endowment","Unspent",2.5,2.5
"F.0078","Treatment","","","Endowment","Unspent",0,0
"F.1028","Treatment","","","Endowment","Unspent",2,2
"F.0552","Treatment","","","Endowment","Unspent",3,3
"F.0347","Control","","","Endowment","Unspent",3,3
"F.0098","Treatment","","","Endowment","Unspent",0,0
"F.0168","Treatment","","","Endowment","Unspent",0,0
"F.0103","Treatment","","","Endowment","Unspent",3,3
"F.1183","Control","","","Endowment","Unspent",2.25,2.25
"F.0717","Control","","","Endowment","Unspent",0,0
"F.0159","Treatment","","","Endowment","Unspent",0,0
"F.1087","Control","","","Endowment","Unspent",3,3
"F.0499","Treatment","","","Endowment","Unspent",0,0
"F.0410","Treatment","","","Endowment","Unspent",0,0
"F.0083","Treatment","","","Endowment","Unspent",3,3
"F.1149","Treatment","","","Endowment","Unspent",0,0
"F.1318","Treatment","","","Endowment","Unspent",0,0
"F.1220","Treatment","","","Endowment","Unspent",3,3
"F.0182","Control","","","Endowment","Unspent",3,3
"F.0173","Treatment","","","Endowment","Unspent",3,3
"F.0219","Control","","","Endowment","Unspent",3,3
"F.0230","Treatment","","","Endowment","Unspent",2,2
"F.0130","Treatment","","","Endowment","Unspent",0,0
"F.0608","Control","","","Endowment","Unspent",1.5,1.5
"F.0258","Treatment","","","Endowment","Unspent",0,0
"F.0296","Control","","","Endowment","Unspent",3,3
"F.0338","Control","","","Endowment","Unspent",0,0
"F.0752","Treatment","","","Endowment","Unspent",0,0
"F.1117","Control","","","Endowment","Unspent",1.5,1.5
"F.1169","Control","","","Endowment","Unspent",0,0
"F.0304","Treatment","","","Endowment","Unspent",2,2
"F.0054","Treatment","","","Endowment","Unspent",3,3
"F.0906","Control","","","Endowment","Unspent",0,0
"F.0091","Control","","","Endowment","Unspent",0,0
"F.0399","Treatment","","","Endowment","Unspent",2,2
"F.1159","Treatment","","","Endowment","Unspent",0,0
